,0
GO:0002419,3.0
GO:0002420,1.0
GO:0002429,3.0
GO:0002430,12.0
GO:0002431,2.0
GO:0002432,2.0
GO:0002434,1.0
GO:0002435,1.0
GO:0002436,1.0
GO:0002437,22.0
GO:0002438,7.0
GO:0002439,2.0
GO:0002443,1.0
GO:0002446,11.0
GO:0002447,1.0
GO:0002448,3.0
GO:0002450,2.0
GO:0002451,1.0
GO:0002455,4.0
GO:0002456,16.0
GO:0002457,4.0
GO:0002458,1.0
GO:0002461,1.0
GO:0002467,10.0
GO:0002469,3.0
GO:0002470,1.0
GO:0002474,5.0
GO:0002476,16.0
GO:0002477,2.0
GO:0002479,1.0
GO:0002480,1.0
GO:0002481,2.0
GO:0002485,2.0
GO:0002486,16.0
GO:0002489,1.0
GO:0002491,2.0
GO:0002495,2.0
GO:0002502,4.0
GO:0002503,16.0
GO:0002504,1.0
GO:0002505,1.0
GO:0002507,2.0
GO:0002508,1.0
GO:0002509,1.0
GO:0002513,3.0
GO:0002517,1.0
GO:0002518,1.0
GO:0002519,3.0
GO:0002520,4.0
GO:0002521,3.0
GO:0002522,3.0
GO:0002523,13.0
GO:0002524,1.0
GO:0002526,18.0
GO:0002528,4.0
GO:0002532,6.0
GO:0002536,2.0
GO:0002537,1.0
GO:0002540,2.0
GO:0002541,1.0
GO:0002542,3.0
GO:0002543,3.0
GO:0002544,10.0
GO:0002548,42.0
GO:0002551,4.0
GO:0002552,1.0
GO:0002553,5.0
GO:0002554,2.0
GO:0002566,1.0
GO:0002572,2.0
GO:0002573,3.0
GO:0002574,1.0
GO:0002575,1.0
GO:0002576,5.0
GO:0002577,1.0
GO:0002578,1.0
GO:0002581,1.0
GO:0002587,2.0
GO:0002588,2.0
GO:0002590,1.0
GO:0002605,4.0
GO:0002606,7.0
GO:0002617,1.0
GO:0002622,1.0
GO:0002625,1.0
GO:0002634,5.0
GO:0002635,2.0
GO:0002636,2.0
GO:0002637,7.0
GO:0002638,8.0
GO:0002639,27.0
GO:0002643,2.0
GO:0002644,1.0
GO:0002645,2.0
GO:0002651,1.0
GO:0002652,1.0
GO:0002663,1.0
GO:0002664,1.0
GO:0002666,4.0
GO:0002667,4.0
GO:0002669,5.0
GO:0002673,4.0
GO:0002674,7.0
GO:0002675,11.0
GO:0002676,1.0
GO:0002677,4.0
GO:0002678,1.0
GO:0002679,3.0
GO:0002682,41.0
GO:0002683,1.0
GO:0002684,1.0
GO:0002685,3.0
GO:0002686,8.0
GO:0002687,14.0
GO:0002689,2.0
GO:0002690,13.0
GO:0002691,1.0
GO:0002692,1.0
GO:0002693,7.0
GO:0002695,3.0
GO:0002710,4.0
GO:0002711,2.0
GO:0002715,1.0
GO:0002717,2.0
GO:0002718,3.0
GO:0002719,6.0
GO:0002720,15.0
GO:0002721,1.0
GO:0002724,4.0
GO:0002725,7.0
GO:0002726,11.0
GO:0002728,2.0
GO:0002729,8.0
GO:0002730,3.0
GO:0002731,1.0
GO:0002732,5.0
GO:0002735,7.0
GO:0002737,1.0
GO:0002747,1.0
GO:0002752,11.0
GO:0002753,14.0
GO:0002755,15.0
GO:0002756,1.0
GO:0002757,1.0
GO:0002758,1.0
GO:0002759,2.0
GO:0002760,1.0
GO:0002761,1.0
GO:0002762,1.0
GO:0002763,2.0
GO:0002764,1.0
GO:0002765,2.0
GO:0002767,3.0
GO:0002768,6.0
GO:0002769,3.0
GO:0002774,5.0
GO:0002780,1.0
GO:0002786,1.0
GO:0002787,1.0
GO:0002790,3.0
GO:0002792,1.0
GO:0002793,2.0
GO:0002803,4.0
GO:0002812,1.0
GO:0002815,1.0
GO:0002819,9.0
GO:0002820,3.0
GO:0002821,8.0
GO:0002826,4.0
GO:0002827,10.0
GO:0002828,1.0
GO:0002829,6.0
GO:0002830,6.0
GO:0002834,1.0
GO:0002839,2.0
GO:0002840,1.0
GO:0002841,2.0
GO:0002842,4.0
GO:0002845,1.0
GO:0002851,1.0
GO:0002854,2.0
GO:0002857,1.0
GO:0002859,3.0
GO:0002860,6.0
GO:0002862,22.0
GO:0002863,3.0
GO:0002864,1.0
GO:0002865,4.0
GO:0002866,2.0
GO:0002870,4.0
GO:0002875,1.0
GO:0002876,2.0
GO:0002879,2.0
GO:0002882,1.0
GO:0002885,1.0
GO:0002891,3.0
GO:0002897,1.0
GO:0002901,1.0
GO:0002902,2.0
GO:0002903,11.0
GO:0002904,3.0
GO:0002906,4.0
GO:0002920,2.0
GO:0002922,4.0
GO:0002924,3.0
GO:0002925,6.0
GO:0002926,3.0
GO:0002930,2.0
GO:0002931,57.0
GO:0002933,7.0
GO:0002934,6.0
GO:0002939,3.0
GO:0002940,4.0
GO:0002943,4.0
GO:0002946,1.0
GO:0002949,5.0
GO:0003006,5.0
GO:0003007,40.0
GO:0003009,26.0
